"","SettlementPoint","Year","Month","AveragePrice"
"136","HB_HUBAVG",2019,4,22.2211666666667
"137","HB_HUBAVG",2019,5,23.8837634408602
"138","HB_HUBAVG",2019,6,25.1715416666667
"139","HB_HUBAVG",2019,7,29.6962365591398
"140","HB_HUBAVG",2019,8,126.349838709677
"141","HB_HUBAVG",2019,9,79.4591944444444
"142","HB_HUBAVG",2019,10,28.1317607526882
"143","HB_HUBAVG",2019,11,23.2572361111111
"144","HB_HUBAVG",2019,12,18.623373655914
"145","HB_NORTH",2016,1,19.1333064516129
"146","HB_NORTH",2016,2,15.292658045977
"147","HB_NORTH",2016,3,16.8593674293405
"148","HB_NORTH",2016,4,18.3506666666667
"149","HB_NORTH",2016,5,17.9056317204301
"150","HB_NORTH",2016,6,23.1580555555556
"151","HB_NORTH",2016,7,26.8007930107527
"152","HB_NORTH",2016,8,29.8283870967742
"153","HB_NORTH",2016,9,26.2491805555556
"154","HB_NORTH",2016,10,24.0052553763441
"155","HB_NORTH",2016,11,18.6648888888889
"156","HB_NORTH",2016,12,25.1490456989247
"157","HB_NORTH",2017,1,22.9918548387097
"158","HB_NORTH",2017,2,19.4481994047619
"159","HB_NORTH",2017,3,21.2277792732167
"160","HB_NORTH",2017,4,21.4105555555556
"161","HB_NORTH",2017,5,23.4199193548387
"162","HB_NORTH",2017,6,25.8905694444444
"163","HB_NORTH",2017,7,30.654314516129
"164","HB_NORTH",2017,8,26.8327284946237
"165","HB_NORTH",2017,9,23.3461111111111
"166","HB_NORTH",2017,10,21.4059005376344
"167","HB_NORTH",2017,11,21.5962083333333
"168","HB_NORTH",2017,12,20.952997311828
"169","HB_NORTH",2018,1,37.5859005376344
"170","HB_NORTH",2018,2,21.7670238095238
"171","HB_NORTH",2018,3,22.6080080753701
"172","HB_NORTH",2018,4,23.5229166666667
"173","HB_NORTH",2018,5,35.3061424731183
"174","HB_NORTH",2018,6,30.2118888888889
"175","HB_NORTH",2018,7,78.9684543010753
"176","HB_NORTH",2018,8,31.6030510752688
"177","HB_NORTH",2018,9,27.2996388888889
"178","HB_NORTH",2018,10,30.0341666666667
"179","HB_NORTH",2018,11,31.2348888888889
"180","HB_NORTH",2018,12,30.3982661290323
"181","HB_NORTH",2019,1,24.3326344086021
"182","HB_NORTH",2019,2,20.8649553571429
"183","HB_NORTH",2019,3,28.1037146702557
"184","HB_NORTH",2019,4,22.9974027777778
"185","HB_NORTH",2019,5,23.9788844086022
"186","HB_NORTH",2019,6,25.1758194444444
"187","HB_NORTH",2019,7,29.7812903225806
"188","HB_NORTH",2019,8,126.52185483871
"189","HB_NORTH",2019,9,79.9195833333333
"190","HB_NORTH",2019,10,27.9959677419355
"191","HB_NORTH",2019,11,23.6286111111111
"192","HB_NORTH",2019,12,18.7319892473118
"193","HB_PAN",2019,4,16.5487666666667
"194","HB_PAN",2019,5,16.4143279569892
"195","HB_PAN",2019,6,20.7313194444444
"196","HB_PAN",2019,7,28.3845698924731
"197","HB_PAN",2019,8,124.991733870968
"198","HB_PAN",2019,9,72.8532916666667
"199","HB_PAN",2019,10,18.7167607526882
"200","HB_PAN",2019,11,11.6612916666667
"201","HB_PAN",2019,12,8.81724462365591
"202","HB_SOUTH",2016,1,19.2100537634409
"203","HB_SOUTH",2016,2,15.333591954023
"204","HB_SOUTH",2016,3,16.7631090174966
